author_id,chunks (1500)
1680,402894
11034,83745
6324,65676
5929,64754
3816,61226
9399,52835
3722,45351
8844,45318
748,41040
10999,40200
89,39782
7075,39303
5625,37455
6481,34392
1400,33579
9588,33345
2654,33345
2703,32703
9821,31506
6951,30968
2413,30546
9457,30090
9423,29577
1260,29166
5248,29010
4821,28776
8908,28710
6400,28090
9255,27987
8477,26079
1748,25569
9237,24969
8187,23754
247,23044
6532,21414
30,21030
7397,20904
8820,20610
8982,20472
7673,20409
3289,20370
9346,19797
8552,19629
775,19497
1957,18972
7102,18591
10975,18399
7439,18299
8661,18012
6790,17994
4993,17481
2233,17331
9037,17181
6401,17114
6132,17067
6373,16827
9071,16683
1474,16572
4754,16329
7194,16275
8358,16017
8478,15807
10653,15453
8500,15411
2832,15372
6780,15255
2435,15231
7961,15204
4960,15060
1768,14964
3612,14664
3670,14646
6732,14613
8881,14458
1805,13912
1848,13884
7308,13818
10191,13734
3201,13677
6660,13503
10261,13431
27,13406
3838,13296
2765,13284
4683,13248
9049,13122
698,12651
6786,12396
3970,12183
1416,12159
2117,12042
6402,11926
4772,11877
2234,11862
6166,11817
6530,11817
8626,11757
9579,11550
5009,11517
1346,11511
11013,11508
790,11472
2971,11397
11021,11271
7964,11219
3244,11199
75,11194
7526,11190
10501,11166
1118,11136
3275,11040
10650,11034
7593,11010
10298,10983
7256,10857
1123,10830
4451,10818
8202,10818
10302,10707
4497,10617
10613,10572
6076,10545
6903,10463
6773,10437
6535,10362
7697,10242
8948,10228
2473,10161
421,10134
1075,10065
9958,10023
2472,9990
3306,9903
6464,9801
761,9771
1582,9723
33,9692
1450,9498
7921,9495
114,9494
5025,9483
6806,9480
10270,9387
4281,9372
9726,9345
4003,9327
9513,9264
11012,9237
1566,9192
1867,9172
7203,9141
5535,9135
515,9123
8305,9081
9040,9012
307,8961
1069,8931
8709,8910
4159,8901
7511,8874
3572,8853
6927,8795
3556,8748
936,8709
5308,8688
9656,8616
9847,8385
7255,8376
627,8295
8812,8280
9152,8277
2492,8193
2289,8175
8917,8165
10405,8115
2992,8109
7618,8100
7862,8049
5752,8046
122,8042
2680,8037
1532,7995
118,7910
1278,7875
3959,7863
5988,7859
7479,7816
6243,7809
1535,7764
7750,7758
9496,7737
4403,7729
9872,7728
1831,7708
2814,7659
1122,7599
4702,7599
6975,7589
7775,7557
2527,7545
8084,7539
6312,7488
7353,7476
235,7470
924,7458
8210,7455
1884,7436
10617,7419
1025,7395
5694,7312
7209,7311
7277,7279
526,7254
7832,7227
5475,7185
10930,7134
8801,7134
6381,7113
3133,7098
9543,7059
10057,7044
2950,7044
3116,7020
6363,6993
214,6992
9007,6990
151,6988
7906,6987
7426,6974
9901,6936
9709,6918
9575,6870
308,6813
3496,6774
604,6744
4259,6717
1661,6660
8825,6636
7408,6618
1177,6609
9065,6534
7272,6519
3095,6489
8835,6468
5271,6464
8729,6363
2170,6357
606,6345
9510,6318
4660,6267
4030,6255
11178,6183
8524,6084
1517,6081
4243,6075
8880,6045
31,6036
5386,6030
5850,6030
3318,5982
10058,5976
9523,5970
9032,5940
6718,5937
6867,5923
4517,5914
7392,5883
1336,5868
10715,5835
7331,5823
4091,5811
4952,5808
11145,5790
9772,5784
11058,5778
9920,5772
2418,5769
6933,5705
1074,5688
1919,5644
4504,5622
3283,5595
9733,5583
2852,5583
4004,5535
6491,5532
3020,5517
4484,5475
4084,5466
5838,5445
1955,5380
5388,5349
3062,5340
4116,5337
1862,5336
940,5334
4614,5298
7939,5277
3063,5274
2643,5265
8730,5265
2369,5247
5544,5235
7911,5215
3632,5211
9288,5193
5087,5187
5404,5184
7630,5166
2089,5156
3150,5142
7538,5118
3424,5079
5162,5064
1315,5052
427,5040
10075,5010
5327,5005
7967,4991
224,4970
3848,4968
1529,4926
9468,4917
10269,4914
8351,4882
4423,4875
5991,4866
6014,4857
10773,4851
6493,4846
1325,4836
8311,4821
9526,4806
5466,4806
6776,4797
10532,4734
6909,4731
6418,4713
1053,4704
8848,4701
3999,4698
1937,4676
9672,4674
7447,4655
3637,4614
7071,4584
4188,4581
4594,4562
10403,4557
2102,4545
886,4494
1087,4488
1860,4488
