author_id,chunks (1500)
11,763914
18,730968
80,706572
88,658692
64,580545
44,422826
91,414162
19,385263
97,375858
61,360126
45,353001
55,351804
20,323418
56,322278
65,316179
66,307458
43,307344
59,306888
21,298965
71,288192
5,258096
63,245214
114,234270
23,233928
92,227202
67,223668
37,213693
113,213123
17,213066
46,200811
82,196422
73,186447
111,182343
69,179778
31,168720
12,153900
2,140790
86,140220
35,140220
77,138909
3,138795
105,132981
98,132753
49,129846
52,125457
100,123576
29,118788
54,118332
102,117819
26,111207
75,109839
28,106134
27,102600
72,98895
81,98667
7,97128
14,96558
76,95931
13,95475
15,94221
6,94221
90,92739
4,92112
118,91485
60,91428
58,89319
24,86811
62,85101
106,82707
93,81909
10,78090
39,75069
116,73473
94,70281
57,68229
51,65949
8,64011
1,63156
99,61560
78,60876
22,60420
48,60249
41,57228
30,56601
122,52497
87,52098
79,49647
120,49362
68,48735
9,48621
89,47823
74,46455
112,45258
117,43605
32,43206
104,41382
130,40413
107,40128
115,39615
121,39558
83,38646
25,37905
53,36993
119,36879
131,35853
40,35112
133,34485
42,32262
85,31920
103,29640
16,28557
125,27417
47,26334
84,24225
34,23370
129,20463
136,16188
95,13680
110,13053
127,12711
70,12141
96,11286
109,9234
128,8550
101,7239
135,7011
124,6897
123,6840
36,6498
33,5586
38,4560
134,3648
132,3477
108,2907
126,2109
50,1368
