author_id,doc_id,chunks (1500)
1680,4218,37518
8908,25441,23061
2654,7156,17751
8844,24078,15009
2703,7261,11565
6481,17923,11541
9821,26942,11529
11034,28784,10689
748,1688,10620
247,524,10564
11021,28766,10410
1680,6936,9882
11034,28785,9837
11034,28786,9828
11034,28787,9249
1680,23259,9117
11034,28788,9039
11034,28789,8736
8661,22496,8406
11034,28791,8244
2233,5515,7566
9423,24765,7361
3816,12753,7287
1805,4309,7092
8478,23127,6813
8982,23476,6757
6660,17531,6675
1118,25740,6465
7308,19275,6294
9423,24766,6169
1680,23265,6105
3816,10903,5844
5009,13189,5760
9423,24767,5745
4403,11899,5496
748,2041,4836
8982,23477,4649
8982,23479,4585
11034,28790,4500
11013,28731,4482
8982,23475,4481
1053,2453,4374
2413,6833,4212
247,523,4168
3731,9467,4107
1957,4764,3980
9423,24764,3973
10298,26968,3957
4772,12511,3951
7511,19824,3888
9496,24966,3869
10298,26969,3858
7331,19320,3828
11034,28793,3774
6312,16568,3747
748,1686,3732
421,918,3726
6324,16584,3633
8881,23095,3621
8529,22243,3609
247,522,3546
3637,9257,3495
6806,17968,3417
10501,28215,3393
4451,12149,3372
11034,28796,3372
11034,28797,3369
2413,6330,3300
2413,5961,3264
4914,12947,3258
10298,26970,3168
11034,28798,3108
1517,3612,3090
5266,13927,2941
4952,13016,2907
8709,22660,2907
4484,11663,2856
247,521,2848
9733,25659,2802
2170,5373,2784
5248,14622,2766
1400,3446,2682
6324,17446,2682
7397,19465,2681
7672,20291,2676
6324,16597,2658
3150,8083,2571
6976,18437,2557
6349,16683,2532
5929,15658,2529
7397,19461,2525
10773,28056,2523
8881,23096,2521
6400,17689,2505
7967,20966,2497
9346,24579,2493
5248,14613,2469
9346,24575,2466
6914,18290,2465
5248,14620,2460
7439,19665,2457
8351,21783,2457
9346,24584,2454
9037,23639,2445
6324,17455,2442
7911,20797,2441
6464,16963,2437
1680,13985,2430
8210,21510,2427
7397,19468,2425
8351,21784,2425
7397,19466,2413
6660,17528,2409
7911,20799,2409
6806,17967,2406
6324,16617,2403
7593,19986,2376
3133,8039,2367
1680,23231,2361
5248,14598,2349
10773,28055,2328
5929,16531,2321
307,666,2316
8608,22372,2313
5248,14599,2304
6402,17697,2285
9727,25624,2280
6806,17966,2277
7397,19471,2277
5248,13881,2268
1957,4763,2256
5248,13885,2253
101,3531,2236
9821,25881,2229
10261,26880,2229
9464,24910,2225
1854,4421,2220
5929,15670,2201
6324,16586,2201
5929,15681,2197
7756,20480,2181
1118,25742,2181
3959,28137,2178
6935,18348,2177
7102,18691,2172
3424,8755,2169
8927,23294,2169
6933,18343,2167
6324,16590,2166
9821,26943,2160
10917,28382,2157
2465,10978,2148
3670,9323,2145
5749,15242,2142
2746,6866,2142
1680,23232,2136
5802,15344,2121
1118,25741,2121
5248,13860,2109
10058,26442,2106
7921,20811,2106
9423,24772,2101
8880,23083,2101
10058,26443,2091
89,4589,2080
8569,22319,2079
5475,14525,2076
6324,16603,2076
8608,22373,2073
6660,17529,2070
7593,19989,2070
8283,21635,2070
9346,24573,2067
10261,26881,2064
1711,4036,2061
10661,27860,2058
2305,5738,2052
10261,26892,2046
10358,27111,2040
3824,9733,2034
1748,4123,2028
6324,16616,2025
10812,28114,2022
5327,14227,2013
6324,16589,2004
3525,8983,1998
3401,8710,1989
9152,23952,1974
397,858,1974
6324,16615,1974
6491,17052,1965
8439,21987,1965
4090,10547,1965
5071,13495,1956
1522,3618,1953
9399,25800,1949
2413,6336,1941
8477,22062,1938
5071,13494,1929
7439,19655,1929
9672,25526,1926
7383,19425,1925
6481,17915,1921
10999,28870,1917
8884,23109,1917
10999,28873,1917
9237,24236,1917
9237,24241,1914
9237,24242,1911
11036,28800,1908
7255,19031,1905
9334,24547,1905
8903,23201,1901
1532,3848,1899
5929,15659,1897
9672,25525,1887
4610,12070,1887
6718,18486,1884
1957,4757,1876
8653,22487,1875
5265,13926,1869
3816,14191,1869
9114,23857,1866
5929,15671,1865
6493,18987,1861
6778,17808,1860
1532,3847,1857
2896,7392,1854
3007,7674,1848
7849,20690,1845
9399,25821,1841
10501,28208,1836
9255,24404,1836
2418,5969,1830
4084,11169,1830
9399,25807,1829
5929,15653,1829
5929,15657,1829
1805,4312,1824
8202,21469,1824
8477,22054,1824
6935,18349,1822
7397,19460,1821
5397,14381,1818
4243,11596,1818
3816,13475,1815
8477,22053,1812
8881,23098,1809
2021,5003,1808
3519,8921,1806
1957,4758,1804
8835,22980,1803
9543,25087,1800
7397,19464,1797
5929,16545,1793
7676,20337,1791
1748,4112,1788
8884,23110,1781
5929,15686,1777
6400,17679,1777
6324,16604,1776
9037,23619,1776
3063,7809,1773
8187,22456,1773
6750,17744,1767
1957,4765,1764
1522,3619,1764
2413,5960,1761
362,796,1758
6324,16607,1758
5929,16543,1757
9399,25798,1753
5248,14625,1752
2093,5118,1752
1680,23234,1752
4614,12161,1746
8881,23105,1745
1169,2714,1740
4504,11718,1738
2521,6245,1737
10261,26883,1734
2305,5739,1734
3867,9806,1731
2788,8273,1725
8187,22450,1725
9579,25272,1722
6324,16633,1722
6324,17451,1719
9288,24473,1716
9399,25815,1713
5009,13184,1710
9763,25711,1710
8880,23084,1709
8881,23097,1709
5929,16530,1705
1957,4759,1704
5929,15672,1701
5929,15679,1701
6660,17530,1698
8358,21820,1698
4460,11612,1698
5929,15687,1693
9093,23821,1692
6401,25625,1689
11013,28718,1689
8283,21636,1689
7397,19467,1685
8908,23224,1685
9237,24247,1683
5929,16535,1681
9399,24706,1677
6687,17569,1677
7209,18935,1677
8187,22448,1677
221,1268,1674
1122,2575,1674
8385,21869,1671
7397,19459,1669
11036,28801,1668
5929,16537,1665
11058,28891,1665
4754,12456,1662
8187,21443,1659
4196,10959,1659
1087,2520,1659
7779,20517,1656
8187,22454,1656
4084,11170,1653
6765,17767,1650
8187,21441,1650
6780,17816,1647
1680,23233,1647
5929,15654,1645
5929,16549,1645
9255,24396,1644
1748,4096,1644
1391,3171,1644
2413,5963,1644
6226,16354,1644
9007,23527,1644
1075,2493,1644
10930,28400,1641
5016,13216,1641
9901,26070,1641
495,1063,1638
748,1847,1638
1030,2425,1638
3128,8028,1632
6324,16614,1629
8187,22451,1629
1680,23272,1629
11058,28892,1626
6324,16626,1626
8187,22446,1623
1075,2490,1623
5929,15678,1621
8862,23048,1621
9513,24999,1620
420,906,1620
8187,22452,1617
5929,15665,1613
6498,17070,1613
8877,23080,1613
5203,13726,1611
9399,25806,1609
10999,28876,1608
6400,16863,1605
6530,17137,1605
9037,23638,1605
1680,23235,1605
1964,4777,1604
10999,28682,1602
3816,12758,1602
5929,16548,1601
7104,18714,1599
6790,28317,1596
9423,24769,1593
2413,6332,1590
9726,25634,1590
8187,22455,1590
10999,28866,1587
2369,5852,1587
9399,25788,1585
495,1062,1584
9255,24392,1584
5752,15262,1584
6324,17449,1584
9399,24712,1581
5250,13865,1581
307,667,1581
940,2247,1581
6078,16080,1578
8187,22449,1578
5327,14223,1577
3406,8722,1572
6535,17189,1569
4993,13804,1566
3063,7808,1566
7595,19993,1566
4125,10634,1566
1748,4115,1563
1737,4080,1563
6773,17786,1563
7397,19462,1561
6400,18593,1557
2473,6536,1554
3275,8303,1551
3424,8756,1551
1075,2492,1551
9399,24707,1549
5023,13226,1548
9255,24393,1548
6786,17849,1545
8855,23039,1545
9920,26104,1542
5625,15799,1542
936,2221,1542
7439,19654,1541
4754,12455,1539
8311,21718,1539
6400,18606,1533
1582,3788,1533
1957,4762,1532
6324,16631,1530
6773,17787,1527
3519,8922,1527
7921,20820,1527
9399,25804,1525
1957,4761,1524
9255,24390,1524
8187,22457,1524
9255,24398,1524
78,7478,1524
6491,17053,1521
7593,19984,1521
8187,22453,1521
6975,18430,1517
89,3998,1514
388,845,1509
1986,4831,1508
6732,24302,1506
1969,4796,1504
9255,24403,1503
7383,19426,1501
9399,24700,1497
10261,26882,1497
6324,17456,1494
9255,24388,1494
2699,6747,1494
10650,27811,1494
3020,9605,1494
3063,7807,1494
8210,21514,1494
256,547,1494
4484,12204,1494
9255,24402,1491
2413,6328,1491
7277,19205,1491
1075,2495,1491
9255,24389,1488
7511,19823,1488
5248,13868,1485
2832,7202,1485
9255,24395,1482
8626,22425,1482
8034,21154,1479
9399,24705,1477
9399,24711,1477
9255,24394,1476
9255,24397,1476
7593,19991,1473
5248,14610,1470
2930,7490,1470
2992,7637,1470
8820,22919,1470
7417,19520,1469
9920,26106,1464
1815,4342,1464
10868,28277,1464
2418,5972,1464
9288,24474,1461
9399,25797,1461
5250,13864,1458
2654,6662,1458
8709,22659,1458
6226,16355,1455
5376,14320,1453
1260,2903,1452
1069,2654,1452
6464,16967,1449
7618,20140,1449
8709,22649,1449
1805,4316,1448
10999,28669,1446
2290,5715,1446
9255,24400,1446
940,2249,1446
9255,24391,1446
7472,19740,1445
9255,24399,1443
6324,16587,1443
8820,22936,1443
6400,18597,1441
7447,19686,1441
9152,23953,1440
6324,16599,1437
9255,24401,1437
7408,19499,1437
3289,8364,1437
7593,19979,1437
5279,14024,1433
5929,16538,1433
10650,27812,1431
5752,15250,1431
2788,7043,1431
9399,25820,1429
2765,7010,1428
6732,26494,1428
2418,5970,1425
6324,16623,1425
10875,28301,1422
7697,20371,1422
9513,25003,1422
8500,23175,1422
4004,10374,1422
436,980,1419
2703,6775,1419
8477,22068,1419
8478,23149,1419
10999,28676,1416
6780,18703,1416
9255,24405,1413
3707,9390,1413
9920,26105,1413
8881,24148,1413
4125,10633,1413
11178,29129,1410
2765,7011,1410
6481,17919,1409
