author_id,doc_id,chunks (1500)
98,2347,64011
77,1060,53010
99,599,51072
19,2249,49077
80,1809,49020
11,1945,47481
11,1714,47196
66,2284,46284
20,2352,45657
19,1715,45486
66,658,45030
61,1672,42864
45,1077,42351
11,1924,42237
97,626,41895
130,1494,40413
100,2117,38532
63,119,38532
11,2074,38418
11,1826,37107
32,2037,36423
68,134,36195
56,1469,36081
11,1908,35910
105,1217,34998
58,1501,33288
111,576,33117
94,289,33060
77,1055,31464
119,1458,31350
71,1198,31293
20,2156,30951
11,1929,30609
76,149,30552
11,1896,29868
44,1951,29070
62,115,28956
80,1063,28671
91,2157,28443
114,1131,28329
11,2125,28272
11,1870,28158
97,930,28101
61,439,27987
11,1875,27930
114,2118,27474
80,1920,27075
76,1302,27075
97,1103,26961
56,1737,26847
97,320,26676
20,1719,26619
97,1883,26619
49,1780,26505
76,1799,26106
88,2250,26049
114,1650,25821
20,1885,25308
114,1755,25137
63,2233,25023
114,828,24966
80,1718,24852
86,1887,24453
80,2294,24396
80,2264,24396
62,1756,24282
80,1415,24111
80,1754,23940
60,2087,23712
61,2263,23712
80,1491,23655
118,1470,23598
91,1679,23598
14,2017,23484
97,347,23427
54,2007,23256
72,1900,23256
80,820,23199
114,602,23085
44,1045,23028
87,1642,22914
69,531,22857
80,1361,22857
80,451,22743
80,681,22743
80,374,22629
80,1907,22629
80,161,22572
80,1652,22458
71,514,22458
78,2366,22344
118,1189,22230
49,2130,21888
78,153,21831
69,1997,21660
75,1173,21660
88,1901,21603
80,1879,21546
52,2203,21432
48,1054,21432
80,920,21318
80,833,21318
11,1971,21261
97,418,21147
100,1081,21090
63,1835,21090
80,704,20976
111,1510,20919
120,2367,20862
115,1336,20691
44,467,20634
80,736,20577
97,1455,20577
91,2104,20463
129,1473,20463
97,1791,20463
80,905,20292
56,1463,20292
65,300,20292
52,1832,20121
45,666,20121
65,493,20121
97,1775,20121
114,2225,20064
63,1635,20007
80,2042,19893
45,1598,19893
112,1781,19836
88,822,19836
65,2349,19779
117,1512,19722
51,482,19665
88,1852,19665
14,2215,19608
65,1020,19551
80,932,19551
45,761,19494
103,372,19437
131,1662,19323
56,1579,19266
65,1654,19209
11,1800,19209
65,516,19152
56,1793,19152
65,940,19095
80,789,19095
71,1503,19095
43,455,19038
80,1699,19038
115,633,18924
18,1919,18924
87,197,18867
91,1797,18867
92,2060,18867
44,1298,18867
11,2101,18810
19,1698,18810
45,1761,18810
18,1784,18639
65,2376,18525
56,2271,18525
56,1531,18525
65,2205,18411
88,1691,18354
114,2071,18297
45,649,18297
11,1911,18297
114,1008,18297
97,978,18240
44,1947,18240
97,2153,18183
49,1087,18069
56,1484,18069
52,2332,18012
63,198,17898
65,933,17898
98,1736,17841
97,2182,17841
88,409,17727
37,113,17670
107,1916,17613
18,1905,17613
18,1786,17556
114,655,17556
98,1439,17385
59,1432,17385
91,1238,17385
45,1301,17385
81,1794,17328
111,1892,17328
49,1703,17271
72,423,17271
72,141,17214
60,1478,17214
82,2212,17214
44,805,17157
113,1824,17157
18,2216,17100
55,2024,17100
92,1442,17043
94,1359,17043
63,285,16986
18,2102,16986
64,1319,16986
48,2100,16929
91,603,16815
67,2234,16758
18,2120,16701
63,900,16701
88,1953,16644
82,1751,16644
80,1913,16587
88,865,16587
18,2073,16587
100,1990,16530
35,917,16530
18,2305,16530
131,2103,16530
18,2325,16473
19,727,16473
19,296,16473
66,600,16416
111,1554,16359
81,2285,16359
117,2333,16359
35,2374,16302
35,2380,16302
79,621,16302
1,1,16245
113,2307,16245
18,1766,16188
136,2290,16188
88,870,16188
49,1520,16131
88,693,16131
88,1818,16017
71,1003,16017
88,1101,16017
88,787,15960
113,593,15903
65,1991,15903
113,1774,15846
18,2009,15789
88,1113,15789
63,2382,15732
111,893,15732
64,710,15675
19,292,15675
55,2214,15675
11,1392,15618
65,627,15561
113,1881,15504
63,2184,15447
18,1779,15447
90,634,15447
19,420,15447
91,1653,15390
82,311,15390
43,1563,15333
88,973,15333
54,1746,15219
69,1729,15162
121,949,15162
63,1940,15162
18,1886,15162
80,189,15105
88,1753,15105
18,1676,15105
88,2345,15105
81,511,15105
18,2154,15105
71,1618,15105
69,1048,15048
19,1337,15048
88,1264,15048
98,680,15048
61,2229,14991
92,1645,14991
44,1300,14991
92,2278,14877
88,2043,14877
73,552,14877
122,1669,14820
56,1845,14820
55,2045,14820
111,550,14820
61,598,14763
85,194,14763
59,1976,14706
18,1922,14706
92,857,14649
97,898,14649
55,2258,14592
18,2364,14592
118,1490,14592
61,469,14592
100,1485,14592
61,1583,14592
11,172,14535
88,1811,14478
82,1763,14478
35,76,14478
28,1394,14421
71,1383,14421
19,2321,14364
91,1412,14364
88,1291,14307
125,1974,14307
118,2167,14307
92,2261,14307
55,2334,14307
64,470,14307
59,2383,14250
73,351,14250
69,860,14193
19,644,14193
88,844,14193
39,1499,14193
69,1369,14136
88,1626,14136
88,201,14136
73,781,14136
56,1902,14136
113,1678,14079
21,329,14022
88,1815,14022
12,1747,14022
43,2173,14022
66,2304,14022
55,1545,13965
67,1850,13965
55,1789,13965
63,779,13965
18,1685,13908
88,989,13908
55,1500,13851
18,2336,13851
88,2050,13851
66,1260,13794
107,430,13794
39,1430,13794
88,999,13737
53,1853,13737
35,1341,13680
88,824,13680
97,334,13680
37,1937,13680
61,1690,13623
111,1175,13623
59,1604,13623
111,1744,13623
111,848,13566
55,2329,13566
56,95,13566
55,1423,13566
64,788,13566
64,1830,13509
51,2198,13509
55,2041,13509
44,1838,13452
118,717,13452
66,1388,13452
66,743,13452
80,1396,13395
43,1390,13395
69,324,13338
55,2155,13338
66,772,13338
64,1790,13338
59,1386,13281
59,1355,13281
86,375,13224
43,968,13224
64,2219,13224
88,1320,13167
116,690,13167
49,2176,13167
88,541,13167
82,366,13167
90,537,13167
133,2106,13110
59,2030,13110
125,1168,13110
88,2295,13053
110,504,13053
64,363,12996
18,2302,12996
88,1865,12996
59,2238,12939
116,1076,12939
74,499,12939
55,2096,12939
80,637,12882
44,2080,12882
19,1733,12882
86,1032,12825
61,1021,12825
66,486,12768
71,703,12768
84,701,12768
18,2194,12711
21,489,12711
21,967,12654
65,753,12654
18,1904,12654
18,2161,12597
113,1169,12540
88,1526,12540
69,212,12540
64,1914,12483
86,1293,12483
45,845,12483
66,1705,12483
64,2344,12483
72,1209,12483
82,1242,12483
73,2040,12483
60,1548,12426
18,1987,12426
73,2289,12426
91,260,12426
43,1069,12369
67,1404,12369
92,1036,12369
64,1195,12369
29,1433,12369
67,899,12369
59,1946,12312
73,1777,12312
55,1906,12255
76,2089,12198
77,931,12141
73,1651,12141
64,1927,12141
116,1002,12141
82,1145,12084
67,716,12084
104,1193,12027
55,2054,12027
82,1360,12027
113,1803,12027
59,2134,11970
54,1859,11970
91,623,11970
92,792,11970
88,219,11970
113,2270,11913
48,648,11913
72,252,11913
64,1597,11913
11,1230,11856
90,2235,11856
86,196,11856
82,1333,11856
88,1171,11856
2,414,11799
75,2373,11799
111,1634,11799
82,1314,11799
67,1602,11799
133,2186,11799
65,2350,11799
19,1130,11742
97,595,11742
64,211,11742
18,2062,11742
11,1136,11742
88,449,11685
18,2287,11685
46,1353,11685
67,948,11685
20,1977,11685
113,583,11628
83,234,11628
122,1620,11628
90,943,11571
19,2189,11571
92,1686,11514
64,1813,11457
64,1880,11457
46,1016,11400
81,590,11400
79,156,11400
71,507,11400
71,2020,11343
64,328,11343
60,2202,11343
73,806,11343
120,1931,11343
20,1709,11286
88,502,11286
67,1926,11286
86,2158,11286
98,771,11229
88,389,11229
79,1730,11229
113,2324,11229
82,2199,11229
55,2159,11229
91,332,11229
73,953,11229
59,2139,11172
19,21,11172
15,1812,11172
44,1734,11172
64,490,11115
55,2114,11115
92,457,11115
92,2267,11115
75,488,11115
63,558,11058
56,891,11058
64,1982,11058
82,173,11058
100,1464,11001
59,1962,11001
66,1125,11001
73,718,11001
92,270,11001
72,2314,11001
64,1472,11001
66,513,10944
58,1227,10944
65,1441,10944
44,1058,10887
116,1968,10887
20,2201,10887
20,1628,10887
59,2190,10887
64,195,10887
46,1544,10830
113,2057,10830
46,2077,10830
64,841,10830
112,579,10830
64,402,10830
64,557,10830
69,1687,10830
64,2310,10830
21,1796,10773
64,1828,10773
79,545,10716
64,1297,10716
64,1179,10716
64,765,10716
67,1849,10716
18,2163,10659
21,23,10659
55,1742,10659
44,861,10659
56,804,10659
64,1806,10659
88,2169,10659
73,1257,10602
61,2064,10545
64,341,10545
64,1664,10545
64,2227,10545
45,1550,10545
105,1578,10545
44,1749,10545
65,2328,10545
113,1156,10545
43,1633,10488
86,1956,10488
64,2308,10488
71,137,10488
71,724,10431
64,2082,10431
64,461,10431
121,1999,10431
21,1201,10431
64,1408,10374
90,1882,10374
12,1917,10374
91,1640,10317
71,1275,10317
90,515,10317
104,1332,10317
7,960,10317
19,1989,10260
82,1562,10260
64,1116,10260
64,1177,10260
105,2015,10260
11,622,10203
91,277,10203
105,2086,10146
116,760,10146
91,1935,10146
41,2370,10146
73,1278,10146
104,1196,10089
18,1861,10089
39,927,10089
93,475,10089
59,1306,10089
64,433,10032
105,444,10032
105,766,10032
12,1710,10032
64,871,10032
11,1237,10032
66,1367,10032
61,1668,10032
71,387,9975
92,1318,9975
18,2016,9975
11,1649,9975
91,1958,9975
81,1600,9975
44,2049,9918
113,1513,9918
19,763,9918
44,291,9918
61,207,9918
66,2116,9918
43,1985,9918
44,1363,9861
92,567,9861
102,748,9861
91,1594,9861
18,1871,9861
45,1785,9804
105,406,9804
105,1251,9804
71,1970,9804
19,1891,9804
12,2369,9804
39,1960,9747
11,223,9747
11,2281,9747
44,2222,9747
46,1996,9747
47,1986,9747
61,1524,9747
73,553,9747
74,206,9747
22,2025,9690
93,836,9690
77,2088,9690
113,1083,9690
67,1014,9633
11,11,9633
113,924,9633
11,1221,9633
11,463,9633
21,1632,9633
133,2213,9576
16,1725,9576
45,1568,9576
59,1437,9576
10,1202,9576
11,1898,9576
61,1973,9576
39,2048,9576
121,1941,9519
46,1877,9519
120,1307,9519
64,1867,9519
11,1972,9519
11,1024,9519
82,2187,9462
11,1281,9462
11,1561,9462
61,188,9462
91,980,9462
21,688,9462
92,1954,9405
91,2301,9405
91,2362,9405
91,1584,9348
91,1452,9348
64,193,9348
94,955,9348
20,267,9348
41,2174,9291
20,312,9291
43,1286,9291
64,1825,9291
89,1969,9291
88,2035,9291
11,434,9291
102,628,9291
65,1351,9234
109,498,9234
64,123,9234
64,1934,9234
81,412,9234
64,770,9177
61,1288,9177
83,175,9177
14,2021,9120
73,919,9120
17,2052,9120
61,888,9063
64,1207,9063
20,839,9063
93,1771,9006
18,2268,9006
44,2143,9006
64,218,9006
86,977,8949
55,1720,8949
106,1807,8949
104,398,8949
64,1615,8949
92,1502,8949
45,699,8892
102,1342,8892
34,43,8892
64,1701,8892
91,678,8892
20,904,8835
10,1365,8835
57,2372,8835
71,996,8835
11,925,8835
54,1239,8778
71,1788,8778
66,1599,8778
61,562,8778
107,1591,8721
20,148,8721
71,1044,8721
67,1750,8721
82,1378,8664
73,1965,8664
14,1254,8607
12,2253,8607
17,1769,8607
19,1214,8607
67,741,8607
45,254,8607
15,1801,8607
24,2112,8607
23,1700,8607
82,1829,8607
14,1551,8607
102,586,8550
29,319,8550
35,907,8550
43,1903,8550
86,2232,8550
44,2311,8550
71,2255,8550
17,1768,8550
67,2269,8550
11,609,8550
63,1213,8550
61,1372,8550
128,1438,8550
20,293,8493
21,1178,8493
116,1350,8493
65,128,8493
20,1047,8493
43,939,8436
56,1405,8436
58,98,8436
113,1692,8436
17,2123,8436
20,731,8436
102,1623,8436
29,2032,8379
21,1899,8379
20,367,8379
75,1808,8379
69,979,8379
61,929,8322
71,632,8322
20,429,8322
86,1010,8322
46,934,8322
44,1387,8265
43,581,8265
44,1147,8265
88,1218,8265
21,468,8208
46,993,8208
102,1247,8208
65,616,8208
67,990,8151
64,392,8151
74,684,8151
20,1530,8151
68,1037,8151
93,2377,8151
17,2092,8151
122,2029,8094
46,1819,8094
20,1009,8094
