doc_id,author_id,authorList
204,123,"123, 81, 23, 214, 161"
261,161,"161, 31, 122, 104, 33"
672,308,"308, 123, 78, 104, 81"
673,308,"308, 213, 67, 78, 1011"
677,308,"380, 308, 75, 161, 118"
747,132,"132, 261, 27, 414, 353"
748,132,"132, 27, 86, 353, 298"
1210,551,"551, 2703, 2971, 8303, 7679"
1412,622,"622, 2089, 9040, 7392, 1315"
1586,720,"720, 9588, 7256, 4451, 81"
1587,720,"720, 2249, 6464, 9588, 308"
1588,720,"720, 4990, 5775, 6927, 31"
1752,775,"775, 4562, 7288, 5544, 9841"
2060,868,"868, 8835, 307, 1661, 2289"
