doc_id,author_id,authorList
204,123,"123, 81, 23, 214, 161"
261,161,"161, 31, 122, 104, 33"
672,308,"308, 123, 78, 104, 81"
673,308,"308, 213, 67, 78, 1011"
677,308,"380, 308, 75, 161, 118"
747,132,"132, 261, 27, 414, 353"
748,132,"132, 27, 86, 353, 298"
1210,551,"551, 2703, 2971, 8303, 7679"
1412,622,"622, 2089, 9040, 7392, 1315"
1586,720,"720, 9588, 7256, 4451, 81"
1587,720,"720, 2249, 6464, 9588, 308"
1588,720,"720, 4990, 5775, 6927, 31"
1752,775,"775, 4562, 7288, 5544, 9841"
2060,868,"868, 8835, 307, 1661, 2289"
2061,868,"868, 4188, 8835, 2117, 11169"
2189,923,"923, 8728, 2950, 307, 9073"
2376,1011,"1011, 121, 104, 31, 67"
2377,1011,"1011, 31, 67, 23, 30"
2378,1011,"1011, 31, 23, 81, 122"
2631,1141,"1141, 3340, 627, 6927, 7392"
2652,1069,"1069, 720, 1011, 11145, 4214"
2821,1210,"1210, 2414, 1848, 4898, 761"
2996,1297,"1297, 6705, 8303, 622, 627"
3032,1315,"1315, 122, 7673, 2089, 551"
3078,1336,"1336, 2700, 1661, 4571, 2001"
3730,1566,"1566, 720, 7939, 6046, 8393"
3784,1582,"1582, 7679, 1713, 9152, 720"
3944,1577,"1577, 5645, 2317, 569, 6875"
4105,1748,"1748, 3894, 3221, 2971, 4451"
4128,1661,"1661, 7961, 8835, 868, 4188"
4130,1661,"1661, 4188, 8835, 5633, 868"
4429,1860,"1860, 10185, 7075, 8661, 6102"
4430,1860,"1860, 9872, 4451, 5988, 9049"
4434,1860,"1860, 4594, 7593, 8342, 9707"
4435,1860,"1860, 10851, 104, 8816, 7256"
4660,1913,"1913, 7009, 9073, 121, 4559"
4970,2001,"2001, 10438, 2987, 1688, 2289"
4973,2001,"2001, 2700, 82, 298, 5279"
5043,2051,"2051, 1336, 2700, 308, 8917"
5103,2089,"2089, 10302, 2249, 1848, 7392"
5105,2089,"2089, 10302, 6927, 3308, 9237"
5193,2118,"2118, 6875, 5279, 5544, 10211"
5432,2089,"2089, 4898, 6770, 1713, 551"
5551,2249,"2249, 7174, 3316, 6927, 1448"
5552,2249,"2249, 1848, 9872, 7256, 7181"
5578,2252,"2252, 1860, 6684, 9958, 308"
5704,2289,"2289, 9237, 9958, 2252, 308"
5709,2289,"8835, 868, 2289, 7408, 4188"
5712,2289,"2289, 2187, 8835, 1860, 1661"
6064,86,"86, 298, 161, 81, 132"
